Tag;Datum;Uhrzeit;Team (H);Team (A);Tore (H);Tore (A);HZ-Tore (H);HZ-Tore (A);;;;;;;;;;;;;;;;;;;;;;;;
Sa;19640125;14:30;1. FC Nürnberg;Eintracht Frankfurt;1;0;1;0;1'0;12;;;;;;;;;;;;;;;;;;;;;;
Sa;19640125;14:30;Borussia Dortmund;FC Schalke 04;3;0;0;0;1'0;51;2'0;64;3'0;89;;;;;;;;;;;;;;;;;;
Sa;19640201;15:30;Karlsruher SC;Eintracht Braunschweig;3;1;1;0;1'0;3;2'0;56;3'0;65;3'1;87;;;;;;;;;;;;;;;;
Sa;19640201;15:30;FC Schalke 04;1. FC Köln;2;3;0;2;0'1;28;0'2;30;1'2;49;1'3;73;2'3;79;;;;;;;;;;;;;;
Sa;19640201;17:00;Werder Bremen;1. FC Kaiserslautern;2;0;1;0;1'0;8;2'0;73;;;;;;;;;;;;;;;;;;;;
Sa;19640208;15:30;Eintracht Frankfurt;MSV Duisburg;2;2;1;1;0'1;2;1'1;32;1'2;65;2'2;82;;;;;;;;;;;;;;;;
Sa;19640208;15:30;VfB Stuttgart;FC Schalke 04;2;0;1;0;1'0;6;2'0;70;;;;;;;;;;;;;;;;;;;;
Sa;19640208;15:30;1. FC Saarbrücken;Hamburger SV;1;1;0;0;1'0;54;1'1;78;;;;;;;;;;;;;;;;;;;;
Sa;19640208;15:30;1. FC Kaiserslautern;Hertha BSC;3;0;1;0;1'0;3;2'0;49;3'0;55;;;;;;;;;;;;;;;;;;
Sa;19640208;15:30;Preußen Münster;1. FC Nürnberg;0;1;0;0;0'1;46;;;;;;;;;;;;;;;;;;;;;;
Sa;19640215;15:30;MSV Duisburg;Werder Bremen;1;0;0;0;1'0;70;;;;;;;;;;;;;;;;;;;;;;
Sa;19640215;15:30;1. FC Kaiserslautern;1860 München;2;1;1;0;1'0;15;1'1;51;2'1;68;;;;;;;;;;;;;;;;;;
Sa;19640215;15:30;VfB Stuttgart;Preußen Münster;0;3;0;1;0'1;17;0'2;78;0'3;86;;;;;;;;;;;;;;;;;;
Sa;19640215;15:30;1. FC Nürnberg;1. FC Saarbrücken;2;0;1;0;1'0;29;2'0;72;;;;;;;;;;;;;;;;;;;;
Sa;19640215;15:30;Borussia Dortmund;Karlsruher SC;3;2;2;1;1'0;27;1'1;34;2'1;40;3'1;48;3'2;69;;;;;;;;;;;;;;
Sa;19640215;15:30;Eintracht Braunschweig;Eintracht Frankfurt;0;3;0;2;0'1;28;0'2;35;0'3;50;;;;;;;;;;;;;;;;;;
Sa;19640215;15:30;Hamburger SV;FC Schalke 04;3;1;0;0;1'0;61;2'0;73;3'0;80;3'1;81;;;;;;;;;;;;;;;;
Sa;19640215;15:30;1. FC Köln;Hertha BSC;3;1;2;0;1'0;17;2'0;38;2'1;50;3'1;84;;;;;;;;;;;;;;;;
Sa;19640222;15:30;Eintracht Frankfurt;Borussia Dortmund;2;1;1;0;1'0;26;1'1;70;2'1;72;;;;;;;;;;;;;;;;;;
Sa;19640222;15:30;FC Schalke 04;Eintracht Braunschweig;2;0;1;0;1'0;22;2'0;53;;;;;;;;;;;;;;;;;;;;
Sa;19640222;15:30;Hertha BSC;Hamburger SV;1;2;0;1;0'1;11;0'2;76;1'2;77;;;;;;;;;;;;;;;;;;
Sa;19640222;15:30;Werder Bremen;1. FC Köln;1;1;1;0;1'0;45;1'1;68;;;;;;;;;;;;;;;;;;;;
Sa;19640222;15:30;Preußen Münster;1. FC Kaiserslautern;1;0;0;0;1'0;47;;;;;;;;;;;;;;;;;;;;;;
Sa;19640222;15:30;1. FC Saarbrücken;VfB Stuttgart;0;1;0;0;0'1;83;;;;;;;;;;;;;;;;;;;;;;
Sa;19640222;15:30;Karlsruher SC;1. FC Nürnberg;1;3;1;2;1'0;16;1'1;24;1'2;31;1'3;68;;;;;;;;;;;;;;;;
Sa;19640229;15:30;MSV Duisburg;FC Schalke 04;3;0;2;0;1'0;8;2'0;18;3'0;57;;;;;;;;;;;;;;;;;;
Sa;19640229;15:30;1. FC Nürnberg;1860 München;2;2;1;1;1'0;22;1'1;32;1'2;60;2'2;87;;;;;;;;;;;;;;;;
Sa;19640229;15:30;Borussia Dortmund;Preußen Münster;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
Sa;19640229;15:30;1. FC Kaiserslautern;1. FC Saarbrücken;2;4;1;2;1'0;2;1'1;17;1'2;38;2'2;56;2'3;57;2'4;82;;;;;;;;;;;;
Sa;19640229;15:30;VfB Stuttgart;Karlsruher SC;4;1;3;0;1'0;11;2'0;33;3'0;42;4'0;55;4'1;72;;;;;;;;;;;;;;
Sa;19640229;15:30;1. FC Köln;Eintracht Frankfurt;1;1;1;0;1'0;12;1'1;81;;;;;;;;;;;;;;;;;;;;
Sa;19640307;16:00;Hertha BSC;Borussia Dortmund;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;
Sa;19640307;16:30;Eintracht Frankfurt;VfB Stuttgart;3;2;2;1;1'0;21;1'1;24;2'1;38;3'1;49;3'2;85;;;;;;;;;;;;;;
Sa;19640307;16:30;Werder Bremen;Eintracht Braunschweig;2;3;0;2;0'1;8;0'2;14;1'2;68;1'3;80;2'3;85;;;;;;;;;;;;;;
Sa;19640307;16:30;1860 München;Hamburger SV;9;2;3;1;1'0;4;2'0;8;2'1;9;3'1;16;4'1;49;5'1;57;6'1;59;6'2;71;7'2;75;8'2;80;9'2;89;;
Sa;19640307;16:30;Preußen Münster;1. FC Köln;0;2;0;2;0'1;29;0'2;36;;;;;;;;;;;;;;;;;;;;
Sa;19640307;16:30;1. FC Saarbrücken;MSV Duisburg;0;2;0;1;0'1;18;0'2;82;;;;;;;;;;;;;;;;;;;;
Sa;19640307;16:30;Karlsruher SC;1. FC Kaiserslautern;5;1;2;0;1'0;14;2'0;36;2'1;61;3'1;66;4'1;86;5'1;88;;;;;;;;;;;;
Sa;19640307;16:30;FC Schalke 04;1. FC Nürnberg;4;1;2;1;1'0;25;1'1;38;2'1;42;3'1;70;4'1;87;;;;;;;;;;;;;;
Sa;19640314;16:30;MSV Duisburg;1. FC Köln;2;2;2;0;1'0;3;2'0;17;2'1;61;2'2;67;;;;;;;;;;;;;;;;
Sa;19640314;16:30;Eintracht Frankfurt;Hertha BSC;4;0;0;0;1'0;49;2'0;56;3'0;64;4'0;84;;;;;;;;;;;;;;;;
